Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 2820----------------------------------------
0.445702;0.0532019;-0.987285
0.445702;0.0532019;-0.987285
0.445702;0.0533019;-0.987269
0.445702;0.0533019;-0.987269
0.445702;0.0533019;-0.987269
0.445702;0.0534019;-0.987253
0.445702;0.0534019;-0.987253
0.445702;0.0534019;-0.987253
0.445702;0.0535019;-0.987238
0.445702;0.0535019;-0.987238
0.445702;0.0535019;-0.987238
0.445702;0.0536019;-0.987222
0.445702;0.0536019;-0.987222
0.445702;0.0536019;-0.987222
0.445702;0.0537019;-0.987207
0.445702;0.0537019;-0.987207
0.445702;0.0537019;-0.987207
0.445702;0.0538019;-0.987191
0.445702;0.0538019;-0.987191
0.445702;0.0538019;-0.987191
0.445702;0.0539019;-0.987176
0.445702;0.0539019;-0.987176
0.445702;0.0539019;-0.987176
0.445702;0.0540019;-0.98716
0.445702;0.0540019;-0.98716
0.445702;0.0540019;-0.98716
0.445702;0.0541019;-0.987145
0.445702;0.0541019;-0.987145
0.445702;0.0541019;-0.987145
0.445702;0.0542019;-0.987129
0.445702;0.0542019;-0.987129
0.445702;0.0542019;-0.987129
0.445702;0.0543019;-0.987114
0.445702;0.0543019;-0.987114
0.445702;0.0543019;-0.987114
0.445702;0.0544019;-0.987098
0.445702;0.0544019;-0.987098
0.445702;0.0544019;-0.987098
0.445702;0.0545019;-0.987083
0.445702;0.0545019;-0.987083
0.445702;0.0545019;-0.987083
0.445702;0.0546019;-0.987067
0.445702;0.0546019;-0.987067
0.445702;0.0546019;-0.987067
0.445702;0.0547019;-0.987051
0.445702;0.0547019;-0.987051
0.445702;0.0547019;-0.987051
0.445702;0.0548019;-0.987137
0.445702;0.0548019;-0.987137
0.445702;0.0548019;-0.987137
0.445702;0.0549019;-0.987125
0.445702;0.0549019;-0.987125
0.445702;0.0549019;-0.987125
0.445702;0.0550019;-0.987112
0.445702;0.0550019;-0.987112
0.445702;0.0550019;-0.987112
0.445702;0.0551019;-0.9871
0.445702;0.0551019;-0.9871
0.445702;0.0551019;-0.9871
0.445702;0.0552019;-0.987087
0.445702;0.0552019;-0.987087
0.445702;0.0552019;-0.987087
0.445702;0.0553019;-0.987075
0.445702;0.0553019;-0.987075
0.445702;0.0553019;-0.987075
0.445702;0.0554019;-0.987063
0.445702;0.0554019;-0.987063
0.445702;0.0554019;-0.987063
0.445702;0.0555019;-0.98705
0.445702;0.0555019;-0.98705
0.445702;0.0555019;-0.98705
0.445702;0.0556019;-0.987038
0.445702;0.0556019;-0.987038
0.445702;0.0556019;-0.987038
0.445702;0.0557019;-0.987026
0.445702;0.0557019;-0.987026
0.445702;0.0557019;-0.987026
0.445702;0.0558019;-0.987013
0.445702;0.0558019;-0.987013
0.445702;0.0558019;-0.987013
0.445702;0.0559019;-0.987001
0.445702;0.0559019;-0.987001
0.445702;0.0559019;-0.987001
0.445702;0.0560018;-0.986998
0.445702;0.0560018;-0.986998
0.445702;0.0560018;-0.986998
0.445702;0.0561019;-0.986979
0.445702;0.0561019;-0.986979
0.445702;0.0561019;-0.986979
0.445702;0.0562019;-0.98696
0.445702;0.0562019;-0.98696
0.445702;0.0562019;-0.98696
0.445702;0.0563019;-0.986941
0.445702;0.0563019;-0.986941
0.445702;0.0563019;-0.986941
0.445702;0.0564019;-0.986922
0.445702;0.0564019;-0.986922
0.445702;0.0564019;-0.986922
0.445702;0.0565019;-0.986903
0.445702;0.0565019;-0.986903
0.445702;0.0565019;-0.986903
0.445702;0.0566019;-0.986885
0.445702;0.0566019;-0.986885
0.445702;0.0566019;-0.986885
0.445702;0.0567019;-0.986866
0.445702;0.0567019;-0.986866
0.445702;0.0567019;-0.986866
0.445702;0.0568019;-0.986847
0.445702;0.0568019;-0.986847
0.445702;0.0568019;-0.986847
0.445702;0.0569019;-0.986828
0.445702;0.0569019;-0.986828
0.445702;0.0569019;-0.986828
0.445702;0.0570019;-0.986809
0.445702;0.0570019;-0.986809
0.445702;0.0570019;-0.986809
0.445702;0.0571019;-0.98679
0.445702;0.0571019;-0.98679
0.445702;0.0571019;-0.98679
0.445702;0.0572019;-0.986771
0.445702;0.0572019;-0.986771
0.445702;0.0572019;-0.986771
0.445702;0.0573019;-0.986752
0.445702;0.0573019;-0.986752
0.445702;0.0573019;-0.986752
0.445702;0.0574019;-0.986733
0.445702;0.0574019;-0.986733
0.445702;0.0574019;-0.986733
0.445702;0.0575019;-0.986714
0.445702;0.0575019;-0.986714
0.445702;0.0575019;-0.986714
0.445702;0.0576019;-0.986695
0.445702;0.0576019;-0.986695
0.445702;0.0576019;-0.986695
0.445702;0.0577019;-0.986545
0.445702;0.0577019;-0.986545
0.445702;0.0577019;-0.986545
0.445702;0.0578019;-0.986523
0.445702;0.0578019;-0.986523
0.445702;0.0578019;-0.986523
0.445702;0.0579019;-0.9865
0.445702;0.0579019;-0.9865
0.445702;0.0579019;-0.9865
0.445702;0.0580019;-0.986517
0.445702;0.0580019;-0.986517
0.445702;0.0580019;-0.986517
0.445702;0.0581019;-0.986493
0.445702;0.0581019;-0.986493
0.445702;0.0581019;-0.986493
0.445702;0.0582019;-0.98647
0.445702;0.0582019;-0.98647
0.445702;0.0582019;-0.98647
0.445702;0.0583019;-0.986446
0.445702;0.0583019;-0.986446
0.445702;0.0583019;-0.986446
0.445702;0.0584019;-0.986423
0.445702;0.0584019;-0.986423
0.445702;0.0584019;-0.986423
0.445702;0.0585019;-0.9864
0.445702;0.0585019;-0.9864
0.445702;0.0585019;-0.9864
0.445702;0.0586018;-0.986337
0.445702;0.0586018;-0.986337
0.445702;0.0586018;-0.986337
0.445702;0.0587019;-0.986317
0.445702;0.0587019;-0.986317
0.445702;0.0587019;-0.986317
0.445702;0.0588019;-0.986296
0.445702;0.0588019;-0.986296
0.445702;0.0588019;-0.986296
0.445702;0.0589019;-0.986276
0.445702;0.0589019;-0.986276
0.445702;0.0589019;-0.986276
0.445702;0.0590019;-0.986255
0.445702;0.0590019;-0.986255
0.445702;0.0590019;-0.986255
0.445702;0.0591019;-0.986235
0.445702;0.0591019;-0.986235
0.445702;0.0591019;-0.986235
0.445702;0.0592019;-0.986214
0.445702;0.0592019;-0.986214
0.445702;0.0592019;-0.986214
0.445702;0.0593019;-0.986194
0.445702;0.0593019;-0.986194
0.445702;0.0593019;-0.986194
0.445702;0.0594019;-0.986173
0.445702;0.0594019;-0.986173
0.445702;0.0594019;-0.986173
0.445702;0.0595019;-0.986153
0.445702;0.0595019;-0.986153
0.445702;0.0595019;-0.986153
0.445702;0.0596019;-0.986132
0.445702;0.0596019;-0.986132
0.445702;0.0596019;-0.986132
0.445702;0.0597019;-0.986112
0.445702;0.0597019;-0.986112
0.445702;0.0597019;-0.986112
0.445702;0.0598019;-0.986091
0.445702;0.0598019;-0.986091
0.445702;0.0598019;-0.986091
0.445702;0.0599019;-0.98607
0.445702;0.0599019;-0.98607
0.445702;0.0599019;-0.98607
0.445702;0.0600019;-0.98605
0.445702;0.0600019;-0.98605
0.445702;0.0600019;-0.98605
0.445702;0.0601019;-0.986029
0.445702;0.0601019;-0.986029
0.445702;0.0601019;-0.986029
0.445702;0.0602019;-0.986009
