Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 688----------------------------------------
0.308576;-0.0347023;-1.15289
0.308576;-0.0346023;-1.15299
0.308576;-0.0345023;-1.15308
0.308576;-0.0344023;-1.15317
0.308576;-0.0343023;-1.15327
0.308576;-0.0342023;-1.15336
0.308576;-0.0341024;-1.15345
0.308576;-0.0340024;-1.15355
0.308576;-0.0339024;-1.15364
0.308576;-0.0338024;-1.15374
0.308576;-0.0337024;-1.15383
0.308576;-0.0336023;-1.15392
0.308576;-0.0335023;-1.15402
0.308576;-0.0334023;-1.15411
0.308576;-0.0333023;-1.15421
0.308576;-0.0332023;-1.15382
0.308576;-0.0331023;-1.15392
0.308576;-0.0330023;-1.15403
0.308576;-0.0329023;-1.15414
0.308576;-0.0328023;-1.15424
0.308576;-0.0327023;-1.15454
0.308576;-0.0326023;-1.15465
0.308576;-0.0325023;-1.15475
0.308576;-0.0324023;-1.15486
0.308576;-0.0323023;-1.15497
0.308576;-0.0322024;-1.15504
0.308576;-0.0321024;-1.15514
0.308576;-0.0320024;-1.15524
0.308576;-0.0319024;-1.15534
0.308576;-0.0318024;-1.15545
0.308576;-0.0317024;-1.15555
0.308576;-0.0316023;-1.15565
0.308576;-0.0315023;-1.15576
0.308576;-0.0314023;-1.15586
0.308576;-0.0313023;-1.15596
0.308576;-0.0312023;-1.15606
0.308576;-0.0311023;-1.15617
0.308576;-0.0310023;-1.15627
0.308576;-0.0309024;-1.15672
0.308576;-0.0308024;-1.15643
0.308576;-0.0307024;-1.15654
0.308576;-0.0306024;-1.15665
0.308576;-0.0305024;-1.15676
0.308576;-0.0304024;-1.15687
0.308576;-0.0303024;-1.15698
0.308576;-0.0302024;-1.15707
0.308576;-0.0301024;-1.15718
0.308576;-0.0300024;-1.15729
0.308576;-0.0299024;-1.1574
0.308576;-0.0298024;-1.15667
0.308576;-0.0297024;-1.1568
0.308576;-0.0296024;-1.15693
0.308576;-0.0295024;-1.15706
0.308576;-0.0294024;-1.15719
0.308576;-0.0293024;-1.15732
0.308576;-0.0292024;-1.15745
0.308576;-0.0291024;-1.15758
0.308576;-0.0290024;-1.1577
0.308576;-0.0289024;-1.1579
0.308576;-0.0288024;-1.15761
0.308576;-0.0287024;-1.15774
0.308576;-0.0286024;-1.15788
0.308576;-0.0285024;-1.15802
0.308576;-0.0284024;-1.15815
0.308576;-0.0283024;-1.15857
0.308576;-0.0282024;-1.1587
0.308576;-0.0281024;-1.15883
0.308576;-0.0280024;-1.15959
0.308576;-0.0279024;-1.15971
0.308576;-0.0278024;-1.15982
0.308576;-0.0277024;-1.15994
0.308576;-0.0276024;-1.16006
0.308576;-0.0275024;-1.16018
0.308576;-0.0274024;-1.16029
0.308576;-0.0273024;-1.16041
0.308576;-0.0272024;-1.1602
0.308576;-0.0271024;-1.16068
0.308576;-0.0270024;-1.16079
0.308576;-0.0269024;-1.16091
0.308576;-0.0268024;-1.16103
0.308576;-0.0267024;-1.16115
0.308576;-0.0266024;-1.16126
0.308576;-0.0265024;-1.16138
0.308576;-0.0264024;-1.1615
0.308576;-0.0263024;-1.16146
0.308576;-0.0262024;-1.16158
0.308576;-0.0261024;-1.15928
0.308576;-0.0260024;-1.15946
0.308576;-0.0259024;-1.15964
0.308576;-0.0258024;-1.15982
